mlp_index,mse_b8,mse_b16,mse_b32,mse_b64
0,4.397602424432989e-06,2.7733253773476463e-06,9.86700911198568e-07,7.444180027960101e-07
1,7.528010883106617e-06,1.3602236776932841e-06,1.4757058579562e-06,8.387935395148816e-07
2,8.203416655305773e-06,5.745385806221748e-06,3.581482815206982e-06,1.4278393791755661e-06
3,1.3665717233379837e-06,6.277430202317191e-07,3.704217874656024e-07,1.52095836369881e-07
4,1.0275205113430275e-06,4.999735097044322e-07,8.825105055620952e-07,1.2572196794735646e-07
5,2.9363629892031895e-06,9.204352409142302e-07,6.483438141913211e-07,3.7790988471897435e-07
6,2.0186441815894796e-06,5.702626140191569e-07,9.153259270533454e-07,3.4347635846643243e-07
7,3.6831443139817566e-06,2.1640360046149e-06,1.2272973890503636e-06,3.0856296007186756e-07
8,2.9508169063774403e-06,1.5281149217116763e-06,1.082682842934446e-06,4.1530782368681685e-07
9,1.8872009377446375e-06,3.906784513674211e-07,3.495535736419697e-07,3.142313289572485e-07
10,1.3412178532234975e-06,1.8800361658577458e-06,8.081691476036212e-07,3.159238985972479e-07
11,1.4415195437322836e-05,4.288563559384784e-06,2.6246711968269665e-06,1.172674956251285e-06
12,5.090996637591161e-06,4.13711677538231e-06,7.23613879927143e-07,3.085786204337637e-07
13,1.6183107618417125e-06,6.579364253411768e-07,3.349142048136855e-07,3.3466699278505985e-07
14,1.753440301399678e-05,7.98616929387208e-06,7.040445325401379e-06,5.407816388469655e-06
15,2.598272430986981e-06,1.4146108924251166e-06,2.1709574866690673e-06,5.317698423823458e-07
16,2.7534351829672232e-06,1.535654178042023e-06,5.214012048782024e-07,2.2327643023345445e-07
17,3.0208161660993937e-06,1.3686916418009787e-06,8.929660566536768e-07,4.945571845382801e-07
18,2.3817312921892153e-06,2.431467009955668e-06,1.121893546951469e-06,3.8327667084558925e-07
19,4.3984509829897434e-05,2.300131382071413e-05,7.852789167372975e-06,3.510155011099414e-06
20,3.676576307043433e-05,1.1377804185030982e-05,4.361265837360406e-06,1.3986488056616508e-06
21,1.3374378795560915e-06,7.342271146626445e-07,1.4093277513893554e-06,1.0134020840268931e-06
22,2.599447725515347e-06,1.64644438882533e-06,1.3258598983156844e-06,3.924934048882278e-07
23,1.4331652664623107e-06,9.896525625663344e-07,1.3329105286175036e-06,1.4300904922492919e-06
