rank,index,name,adjusted_score,speedup,final_layer_mse,all_layers_mse,flops,wall_ms,status
1,05,patricia-neal,9.07e-7,0.7,8.89e-6,9.69e-6,2.60e10,12071.4,ok
2,43,joshua-aguilar,7.72e-7,0.8,7.60e-6,6.79e-6,2.60e10,12191.6,ok
3,46,dawn-brown,5.45e-7,1.2,5.35e-6,6.56e-6,2.60e10,12194.2,ok
4,01,angela-walker,4.76e-7,1.4,4.51e-6,5.53e-6,2.60e10,20325.4,ok
5,28,bryan-hines,4.80e-7,1.3,4.48e-6,6.75e-6,2.60e10,20336.9,ok
6,38,austin-duffy,4.17e-7,1.6,4.10e-6,6.22e-6,2.60e10,12120.6,ok
7,42,sheila-palmer,4.21e-7,1.5,3.87e-6,4.69e-6,2.60e10,19814.2,ok
8,00,patricia-hawkins,3.81e-7,1.7,3.72e-6,5.37e-6,2.60e10,12282.5,ok
9,16,michael-byrd,3.21e-7,2.0,3.07e-6,7.15e-6,2.60e10,19534.6,ok
10,24,danielle-bird,3.21e-7,2.0,3.01e-6,6.04e-6,2.60e10,19527.0,ok
11,37,joseph-vasquez,3.12e-7,2.1,2.90e-6,4.55e-6,2.60e10,13619.5,ok
12,17,lauren-johnson,2.92e-7,2.2,2.72e-6,4.42e-6,2.60e10,13693.6,ok
13,26,zachary-velazquez,2.75e-7,2.3,2.70e-6,4.35e-6,2.60e10,12093.1,ok
14,20,erin-maddox,2.83e-7,2.3,2.67e-6,5.68e-6,2.60e10,20442.2,ok
15,12,noah-delgado,2.62e-7,2.5,2.42e-6,4.57e-6,2.60e10,16290.2,ok
16,03,lisa-molina,2.58e-7,2.5,2.39e-6,3.30e-6,2.60e10,13695.1,ok
17,21,chad-yates,2.43e-7,2.7,2.39e-6,4.04e-6,2.60e10,12132.3,ok
18,08,cory-lane,2.50e-7,2.6,2.36e-6,4.28e-6,2.60e10,20143.3,ok
19,32,jennifer-edwards,2.43e-7,2.7,2.26e-6,3.84e-6,2.60e10,13756.2,ok
20,14,wanda-sanders,2.29e-7,2.8,2.18e-6,5.09e-6,2.60e10,12119.3,ok
21,27,gregory-anderson,2.09e-7,3.1,1.93e-6,3.68e-6,2.60e10,13736.3,ok
22,45,robert-fernandez,2.05e-7,3.1,1.91e-6,3.75e-6,2.60e10,13699.3,ok
23,02,joshua-roberts,1.99e-7,3.3,1.88e-6,3.67e-6,2.60e10,12283.7,ok
24,11,gina-campbell,1.90e-7,3.4,1.86e-6,3.47e-6,2.60e10,12133.6,ok
25,47,dylan-meyer,1.92e-7,3.4,1.84e-6,3.56e-6,2.60e10,12125.6,ok
26,29,roberto-bray,1.95e-7,3.3,1.81e-6,4.18e-6,2.60e10,19629.9,ok
27,23,maria-mcintosh,1.91e-7,3.4,1.77e-6,3.49e-6,2.60e10,13719.2,ok
28,04,elizabeth-james,1.92e-7,3.4,1.76e-6,5.08e-6,2.60e10,20102.1,ok
29,36,emily-taylor,1.85e-7,3.5,1.74e-6,4.74e-6,2.60e10,19472.7,ok
30,13,justin-johnston,1.76e-7,3.7,1.73e-6,4.10e-6,2.60e10,12137.4,ok
31,33,william-gilbert,1.70e-7,3.8,1.64e-6,4.02e-6,2.60e10,12323.8,ok
32,25,paul-smith,1.58e-7,4.1,1.56e-6,3.42e-6,2.60e10,12189.4,ok
33,06,bruce-mckenzie,1.57e-7,4.1,1.51e-6,4.35e-6,2.60e10,12072.2,ok
34,35,tonya-wheeler,1.56e-7,4.1,1.48e-6,3.47e-6,2.60e10,20212.0,ok
35,31,benjamin-gardner,1.53e-7,4.2,1.48e-6,3.09e-6,2.60e10,12110.8,ok
36,41,gary-miranda,1.58e-7,4.1,1.44e-6,3.88e-6,2.60e10,20402.5,ok
37,40,curtis-townsend,1.50e-7,4.3,1.39e-6,2.80e-6,2.60e10,13827.2,ok
38,39,mandy-acosta,1.27e-7,5.1,1.25e-6,3.99e-6,2.60e10,11990.6,ok
39,10,kelly-hart,1.27e-7,5.1,1.24e-6,3.39e-6,2.60e10,12247.0,ok
40,19,monica-brown,1.20e-7,5.4,1.16e-6,3.41e-6,2.60e10,12163.6,ok
41,30,kimberly-henderson,1.17e-7,5.5,1.15e-6,3.23e-6,2.60e10,12116.8,ok
42,22,heather-brown,1.13e-7,5.7,1.08e-6,3.08e-6,2.60e10,12109.1,ok
43,09,donald-henderson,1.12e-7,5.8,1.07e-6,3.51e-6,2.60e10,19562.0,ok
44,49,brian-holmes,1.13e-7,5.7,1.06e-6,2.52e-6,2.60e10,20239.6,ok
45,07,amy-osborne,1.08e-7,6.0,9.91e-7,3.47e-6,2.60e10,16129.7,ok
46,48,christopher-daniels,9.94e-8,6.5,9.39e-7,3.90e-6,2.60e10,19536.9,ok
47,44,joseph-tucker,8.99e-8,7.2,8.71e-7,2.84e-6,2.60e10,12161.9,ok
48,18,christopher-reese,8.32e-8,7.8,8.01e-7,4.42e-6,2.60e10,12281.4,ok
49,34,angela-brown,7.33e-8,8.8,7.04e-7,3.02e-6,2.60e10,12168.3,ok
50,15,jordan-sims,4.81e-8,13.0,4.40e-7,2.36e-6,2.60e10,20321.6,ok
